거래ID,구매일자,공급업체,지종,분류,평량(g/㎡),규격,수량(연),단가(원),공급가액,부가세,합계금액,입고창고,담당자,부서,결제조건
PO-00188,2025-04-26,무림SP,이면지,재생지,70,788x1091,225,45555,10249875,1024987,11274862,대전창고,한지민,자재관리팀,90일 어음
PO-00189,2025-01-09,한솔제지,마닐라지,판지,70,A4,292,53513,15625796,1562579,17188375,대전창고,최동욱,자재관리팀,현금
PO-00190,2025-01-30,아세아제지,라이너지,골판지원지,300,594x841,427,43572,18605244,1860524,20465768,안산창고,김철수,생산지원팀,60일 어음
PO-00191,2024-12-13,아세아제지,아이보리지,판지,100,636x939,313,94731,29650803,2965080,32615883,광주창고,최동욱,구매1팀,현금
PO-00192,2024-02-09,깨끗한나라,아이보리지,판지,250,A4,238,47521,11309998,1130999,12440997,부산물류센터,최동욱,구매2팀,60일 어음
PO-00193,2024-11-22,깨끗한나라,마닐라지,판지,150,A4,177,94494,16725438,1672543,18397981,부산물류센터,최동욱,생산지원팀,계좌이체
PO-00194,2024-11-02,대양제지,아트지,코팅지,180,594x841,349,42366,14785734,1478573,16264307,광주창고,최동욱,자재관리팀,현금
PO-00195,2025-04-30,무림SP,복사용지,사무용지,120,A3,31,90973,2820163,282016,3102179,안산창고,최동욱,생산지원팀,30일 어음
PO-00196,2024-09-05,한솔제지,복사용지,사무용지,80,636x939,14,85807,1201298,120129,1321427,대전창고,정수진,구매2팀,90일 어음
PO-00197,2024-07-27,신풍제지,이면지,재생지,250,A3,377,36163,13633451,1363345,14996796,안산창고,최동욱,구매2팀,계좌이체
PO-00198,2024-11-28,대양제지,이면지,재생지,200,594x841,494,50699,25045306,2504530,27549836,광주창고,최동욱,자재관리팀,계좌이체
PO-00199,2024-12-28,무림SP,복사용지,사무용지,250,636x939,495,60311,29853945,2985394,32839339,대전창고,최동욱,자재관리팀,30일 어음
PO-00200,2024-10-31,무림SP,백상지,비코팅지,250,594x841,250,73718,18429500,1842950,20272450,부산물류센터,한지민,자재관리팀,60일 어음
PO-00201,2024-05-04,페이퍼코리아,이면지,재생지,200,500x700,424,73237,31052488,3105248,34157736,안산창고,박민수,구매1팀,60일 어음
PO-00202,2024-03-21,한국제지,라이너지,골판지원지,150,A3,250,56047,14011750,1401175,15412925,안산창고,최동욱,자재관리팀,계좌이체
PO-00203,2024-10-05,깨끗한나라,스노우지,코팅지,120,636x939,30,57579,1727370,172737,1900107,안산창고,김철수,구매1팀,90일 어음
PO-00204,2024-12-04,대양제지,스노우지,코팅지,100,788x1091,498,48701,24253098,2425309,26678407,광주창고,한지민,생산지원팀,90일 어음
PO-00205,2024-07-23,무림SP,아이보리지,판지,150,A3,35,39725,1390375,139037,1529412,부산물류센터,이영희,구매1팀,30일 어음
PO-00206,2025-03-03,깨끗한나라,아트지,코팅지,200,500x700,100,65941,6594100,659410,7253510,인천물류센터,김철수,자재관리팀,계좌이체
PO-00207,2024-04-19,한국제지,크라프트지,포장지,250,A3,283,92738,26244854,2624485,28869339,안산창고,최동욱,생산지원팀,60일 어음
PO-00208,2024-07-16,무림페이퍼,아이보리지,판지,100,A3,239,61720,14751080,1475108,16226188,안산창고,김철수,자재관리팀,60일 어음
PO-00209,2024-07-16,깨끗한나라,복사용지,사무용지,200,500x700,268,70982,19023176,1902317,20925493,인천물류센터,정수진,구매1팀,30일 어음
PO-00210,2024-05-23,대양제지,아이보리지,판지,120,788x1091,138,78275,10801950,1080195,11882145,안산창고,정수진,자재관리팀,60일 어음
PO-00211,2024-11-05,페이퍼코리아,복사용지,사무용지,70,594x841,339,75127,25468053,2546805,28014858,안산창고,김철수,구매1팀,90일 어음
PO-00212,2024-11-10,깨끗한나라,마닐라지,판지,300,A3,399,68760,27435240,2743524,30178764,인천물류센터,한지민,자재관리팀,60일 어음
PO-00213,2024-08-14,전주페이퍼,모조지,비코팅지,250,636x939,237,76971,18242127,1824212,20066339,광주창고,한지민,생산지원팀,계좌이체
PO-00214,2024-08-11,전주페이퍼,복사용지,사무용지,80,A4,233,75419,17572627,1757262,19329889,인천물류센터,최동욱,구매1팀,현금
PO-00215,2025-06-01,전주페이퍼,복사용지,사무용지,300,636x939,89,71007,6319623,631962,6951585,부산물류센터,정수진,구매1팀,30일 어음
PO-00216,2025-05-15,무림페이퍼,이면지,재생지,250,788x1091,237,45294,10734678,1073467,11808145,부산물류센터,정수진,생산지원팀,계좌이체
PO-00217,2024-02-29,아세아제지,라이너지,골판지원지,150,A3,16,79897,1278352,127835,1406187,대전창고,김철수,구매2팀,계좌이체
PO-00218,2024-03-15,한솔제지,마닐라지,판지,180,A3,37,35897,1328189,132818,1461007,인천물류센터,정수진,구매1팀,60일 어음
PO-00219,2025-02-22,깨끗한나라,모조지,비코팅지,200,594x841,461,78132,36018852,3601885,39620737,광주창고,정수진,생산지원팀,현금
PO-00220,2024-05-16,한국제지,스노우지,코팅지,100,A4,206,44691,9206346,920634,10126980,안산창고,김철수,구매1팀,60일 어음
PO-00221,2025-04-19,아세아제지,마닐라지,판지,300,500x700,426,58102,24751452,2475145,27226597,안산창고,정수진,자재관리팀,30일 어음
PO-00222,2024-10-09,전주페이퍼,스노우지,코팅지,70,A3,219,30050,6580950,658095,7239045,안산창고,이영희,구매1팀,현금
PO-00223,2024-02-04,대양제지,복사용지,사무용지,70,636x939,384,33798,12978432,1297843,14276275,광주창고,정수진,구매2팀,계좌이체
PO-00224,2024-08-10,한솔제지,모조지,비코팅지,300,594x841,124,69799,8655076,865507,9520583,부산물류센터,최동욱,자재관리팀,30일 어음
PO-00225,2024-11-05,깨끗한나라,이면지,재생지,120,500x700,158,64064,10122112,1012211,11134323,인천물류센터,최동욱,구매2팀,90일 어음
PO-00226,2025-05-22,한솔제지,아이보리지,판지,200,A4,168,82568,13871424,1387142,15258566,광주창고,이영희,자재관리팀,90일 어음
PO-00227,2024-07-07,아세아제지,라이너지,골판지원지,120,636x939,158,46920,7413360,741336,8154696,광주창고,김철수,생산지원팀,90일 어음
PO-00228,2024-05-17,신풍제지,백상지,비코팅지,150,636x939,174,38363,6675162,667516,7342678,광주창고,박민수,구매1팀,계좌이체
PO-00229,2024-07-14,한솔제지,크라프트지,포장지,200,A3,314,33183,10419462,1041946,11461408,인천물류센터,이영희,구매2팀,90일 어음
PO-00230,2024-08-01,한국제지,크라프트지,포장지,70,636x939,484,52906,25606504,2560650,28167154,인천물류센터,한지민,생산지원팀,30일 어음
PO-00231,2024-07-28,신풍제지,백상지,비코팅지,300,594x841,402,65101,26170602,2617060,28787662,광주창고,정수진,자재관리팀,60일 어음
PO-00232,2024-09-24,한국제지,이면지,재생지,250,500x700,55,89537,4924535,492453,5416988,대전창고,이영희,자재관리팀,60일 어음
PO-00233,2025-02-27,한솔제지,복사용지,사무용지,120,A3,79,30125,2379875,237987,2617862,대전창고,최동욱,생산지원팀,60일 어음
PO-00234,2024-06-05,전주페이퍼,아이보리지,판지,120,500x700,296,60208,17821568,1782156,19603724,광주창고,최동욱,자재관리팀,60일 어음
PO-00235,2025-05-15,대양제지,라이너지,골판지원지,100,A3,412,74160,30553920,3055392,33609312,안산창고,이영희,생산지원팀,30일 어음
PO-00236,2024-03-01,아세아제지,아트지,코팅지,80,A3,29,28836,836244,83624,919868,광주창고,이영희,구매2팀,현금
PO-00237,2024-06-03,한솔제지,백상지,비코팅지,300,500x700,196,35923,7040908,704090,7744998,부산물류센터,한지민,생산지원팀,90일 어음
PO-00238,2024-01-17,한솔제지,이면지,재생지,300,500x700,11,30192,332112,33211,365323,부산물류센터,한지민,자재관리팀,계좌이체
PO-00239,2024-10-20,한솔제지,이면지,재생지,200,636x939,59,40624,2396816,239681,2636497,부산물류센터,이영희,구매2팀,30일 어음
PO-00240,2025-06-23,무림SP,아이보리지,판지,150,500x700,45,76896,3460320,346032,3806352,광주창고,정수진,구매2팀,30일 어음
PO-00241,2024-11-03,무림페이퍼,아트지,코팅지,80,500x700,199,77436,15409764,1540976,16950740,부산물류센터,정수진,구매1팀,현금
PO-00242,2024-06-24,무림페이퍼,라이너지,골판지원지,200,A3,406,71420,28996520,2899652,31896172,부산물류센터,김철수,구매1팀,30일 어음
PO-00243,2024-08-04,페이퍼코리아,라이너지,골판지원지,150,788x1091,478,37744,18041632,1804163,19845795,대전창고,최동욱,구매1팀,30일 어음
PO-00244,2024-11-18,한솔제지,백상지,비코팅지,100,A3,425,80205,34087125,3408712,37495837,인천물류센터,박민수,구매2팀,계좌이체
PO-00245,2024-09-03,페이퍼코리아,마닐라지,판지,300,594x841,201,46343,9314943,931494,10246437,인천물류센터,최동욱,자재관리팀,현금
PO-00246,2024-04-10,신풍제지,백상지,비코팅지,80,594x841,314,79996,25118744,2511874,27630618,대전창고,김철수,자재관리팀,90일 어음
PO-00247,2025-05-17,전주페이퍼,아이보리지,판지,300,500x700,226,52345,11829970,1182997,13012967,부산물류센터,한지민,생산지원팀,현금
PO-00248,2024-10-29,전주페이퍼,스노우지,코팅지,80,594x841,83,77807,6457981,645798,7103779,안산창고,한지민,생산지원팀,60일 어음
PO-00249,2025-01-04,무림페이퍼,스노우지,코팅지,70,594x841,232,75175,17440600,1744060,19184660,대전창고,김철수,구매2팀,현금
PO-00250,2024-07-10,신풍제지,라이너지,골판지원지,300,A4,267,81483,21755961,2175596,23931557,인천물류센터,김철수,구매1팀,60일 어음
PO-00251,2024-04-05,페이퍼코리아,복사용지,사무용지,180,500x700,11,66253,728783,72878,801661,광주창고,정수진,구매1팀,계좌이체
PO-00252,2024-09-05,페이퍼코리아,이면지,재생지,100,A3,199,50216,9992984,999298,10992282,안산창고,박민수,자재관리팀,60일 어음
PO-00253,2025-05-19,깨끗한나라,스노우지,코팅지,100,500x700,146,83194,12146324,1214632,13360956,대전창고,정수진,구매1팀,60일 어음
PO-00254,2024-09-14,전주페이퍼,라이너지,골판지원지,120,500x700,59,45758,2699722,269972,2969694,대전창고,김철수,생산지원팀,60일 어음
PO-00255,2025-01-24,한국제지,라이너지,골판지원지,180,500x700,422,45842,19345324,1934532,21279856,대전창고,박민수,구매2팀,90일 어음
PO-00256,2024-11-17,깨끗한나라,마닐라지,판지,180,594x841,381,92357,35188017,3518801,38706818,부산물류센터,이영희,자재관리팀,90일 어음
PO-00257,2024-10-14,신풍제지,아이보리지,판지,80,A4,107,51583,5519381,551938,6071319,부산물류센터,김철수,생산지원팀,30일 어음
PO-00258,2025-03-24,무림SP,스노우지,코팅지,200,A3,260,46242,12022920,1202292,13225212,대전창고,이영희,자재관리팀,30일 어음
PO-00259,2025-03-09,신풍제지,스노우지,코팅지,250,A4,250,80534,20133500,2013350,22146850,부산물류센터,최동욱,생산지원팀,계좌이체
PO-00260,2024-02-07,한국제지,이면지,재생지,80,788x1091,398,60536,24093328,2409332,26502660,대전창고,이영희,구매1팀,계좌이체
PO-00261,2025-02-13,한국제지,마닐라지,판지,80,788x1091,55,61913,3405215,340521,3745736,안산창고,최동욱,구매2팀,90일 어음
PO-00262,2025-01-18,신풍제지,라이너지,골판지원지,300,636x939,181,31219,5650639,565063,6215702,광주창고,김철수,자재관리팀,90일 어음
PO-00263,2024-03-28,무림페이퍼,모조지,비코팅지,180,594x841,180,87681,15782580,1578258,17360838,안산창고,최동욱,생산지원팀,60일 어음
PO-00264,2025-05-02,무림페이퍼,라이너지,골판지원지,250,594x841,39,67356,2626884,262688,2889572,인천물류센터,한지민,구매1팀,현금
PO-00265,2024-12-17,무림페이퍼,모조지,비코팅지,120,A4,94,48989,4604966,460496,5065462,대전창고,최동욱,생산지원팀,90일 어음
PO-00266,2024-08-25,신풍제지,모조지,비코팅지,100,A3,341,84640,28862240,2886224,31748464,광주창고,김철수,구매2팀,90일 어음
PO-00267,2025-03-15,신풍제지,아트지,코팅지,120,636x939,147,36200,5321400,532140,5853540,부산물류센터,김철수,구매2팀,60일 어음
PO-00268,2024-11-29,전주페이퍼,라이너지,골판지원지,80,594x841,348,92157,32070636,3207063,35277699,부산물류센터,한지민,자재관리팀,계좌이체
PO-00269,2025-02-01,페이퍼코리아,마닐라지,판지,80,594x841,185,88012,16282220,1628222,17910442,부산물류센터,이영희,자재관리팀,계좌이체
PO-00270,2024-03-27,깨끗한나라,아이보리지,판지,80,636x939,161,43328,6975808,697580,7673388,안산창고,박민수,구매2팀,계좌이체
PO-00271,2025-02-01,신풍제지,복사용지,사무용지,100,A4,201,83448,16773048,1677304,18450352,안산창고,정수진,구매2팀,계좌이체
PO-00272,2024-06-19,대양제지,크라프트지,포장지,100,636x939,166,87113,14460758,1446075,15906833,부산물류센터,김철수,자재관리팀,현금
PO-00273,2025-05-11,깨끗한나라,백상지,비코팅지,200,A4,263,92876,24426388,2442638,26869026,광주창고,한지민,생산지원팀,90일 어음
PO-00274,2025-03-30,대양제지,모조지,비코팅지,80,A4,20,56905,1138100,113810,1251910,대전창고,김철수,자재관리팀,30일 어음
PO-00275,2024-10-22,깨끗한나라,라이너지,골판지원지,250,A4,266,42838,11394908,1139490,12534398,부산물류센터,김철수,자재관리팀,계좌이체
PO-00276,2025-01-10,아세아제지,아트지,코팅지,250,A4,116,83725,9712100,971210,10683310,인천물류센터,한지민,구매2팀,60일 어음
PO-00277,2024-02-03,대양제지,크라프트지,포장지,180,788x1091,229,43386,9935394,993539,10928933,안산창고,이영희,자재관리팀,계좌이체
PO-00278,2025-03-14,깨끗한나라,복사용지,사무용지,100,636x939,421,55124,23207204,2320720,25527924,인천물류센터,최동욱,자재관리팀,계좌이체
PO-00279,2024-10-14,페이퍼코리아,이면지,재생지,100,594x841,365,66356,24219940,2421994,26641934,대전창고,최동욱,자재관리팀,계좌이체
PO-00280,2024-04-07,깨끗한나라,마닐라지,판지,70,594x841,448,44631,19994688,1999468,21994156,안산창고,이영희,구매2팀,60일 어음
PO-00281,2024-09-10,신풍제지,라이너지,골판지원지,100,A4,328,63221,20736488,2073648,22810136,광주창고,정수진,생산지원팀,현금
PO-00282,2024-04-05,신풍제지,이면지,재생지,150,A3,484,76374,36965016,3696501,40661517,광주창고,정수진,자재관리팀,계좌이체
PO-00283,2024-01-03,무림페이퍼,라이너지,골판지원지,180,788x1091,412,80129,33013148,3301314,36314462,안산창고,정수진,구매2팀,90일 어음
PO-00284,2024-10-01,한국제지,크라프트지,포장지,180,A4,300,45117,13535100,1353510,14888610,부산물류센터,정수진,자재관리팀,현금
PO-00285,2024-02-17,무림페이퍼,라이너지,골판지원지,70,788x1091,480,48707,23379360,2337936,25717296,광주창고,정수진,구매1팀,90일 어음
PO-00286,2024-07-26,깨끗한나라,크라프트지,포장지,100,594x841,52,75242,3912584,391258,4303842,대전창고,김철수,자재관리팀,30일 어음
PO-00287,2024-02-23,신풍제지,크라프트지,포장지,120,500x700,340,39953,13584020,1358402,14942422,인천물류센터,김철수,구매2팀,90일 어음
PO-00288,2024-03-20,깨끗한나라,복사용지,사무용지,120,A4,353,86335,30476255,3047625,33523880,인천물류센터,김철수,자재관리팀,현금
PO-00289,2025-03-08,깨끗한나라,라이너지,골판지원지,80,636x939,201,39708,7981308,798130,8779438,인천물류센터,김철수,자재관리팀,60일 어음
PO-00290,2024-11-02,깨끗한나라,마닐라지,판지,100,A3,351,46724,16400124,1640012,18040136,인천물류센터,최동욱,구매1팀,계좌이체
PO-00291,2024-06-17,대양제지,아이보리지,판지,120,A3,388,47840,18561920,1856192,20418112,광주창고,최동욱,생산지원팀,30일 어음
PO-00292,2024-03-29,무림페이퍼,모조지,비코팅지,80,A4,378,78335,29610630,2961063,32571693,대전창고,정수진,자재관리팀,30일 어음
PO-00293,2024-09-10,무림SP,스노우지,코팅지,120,A4,312,65345,20387640,2038764,22426404,인천물류센터,한지민,자재관리팀,30일 어음
PO-00294,2025-06-14,페이퍼코리아,이면지,재생지,120,A3,205,66737,13681085,1368108,15049193,인천물류센터,이영희,생산지원팀,90일 어음
PO-00295,2024-04-25,전주페이퍼,라이너지,골판지원지,80,A4,460,29581,13607260,1360726,14967986,대전창고,박민수,구매2팀,90일 어음
PO-00296,2025-03-06,한국제지,이면지,재생지,100,500x700,493,37567,18520531,1852053,20372584,인천물류센터,최동욱,구매1팀,현금
PO-00297,2024-09-25,전주페이퍼,아트지,코팅지,70,500x700,264,65550,17305200,1730520,19035720,부산물류센터,정수진,생산지원팀,90일 어음
PO-00298,2024-03-25,아세아제지,이면지,재생지,100,594x841,47,68620,3225140,322514,3547654,인천물류센터,최동욱,구매2팀,30일 어음
PO-00299,2024-11-30,신풍제지,복사용지,사무용지,80,594x841,362,85342,30893804,3089380,33983184,안산창고,김철수,구매2팀,현금
PO-00300,2025-03-20,무림페이퍼,라이너지,골판지원지,70,594x841,346,51022,17653612,1765361,19418973,인천물류센터,김철수,구매2팀,현금
