기록ID,일자,창고,지종,평량(g/㎡),구분,입고수량(연),출고수량(연),재고수량(연),단위원가,재고금액,LOT번호,비고
INV-00255,2024-08-10,부산물류센터,스노우지,80,조정,0,0,253,54638,13823414,LOT-2408-673,라벨확인
INV-00256,2024-07-08,인천물류센터,모조지,150,출고,0,58,9,71863,646767,LOT-2407-465,긴급
INV-00257,2025-03-13,대전창고,크라프트지,100,출고,0,51,124,55087,6830788,LOT-2503-398,긴급
INV-00258,2024-03-02,대전창고,크라프트지,100,입고,301,0,425,43151,18339175,LOT-2403-625,재검수
INV-00259,2024-07-01,광주창고,스노우지,100,출고,0,131,522,70236,36663192,LOT-2407-659,
INV-00260,2025-03-28,대전창고,스노우지,70,입고,342,0,342,77680,26566560,LOT-2503-257,재검수
INV-00261,2024-01-20,광주창고,모조지,70,조정,0,0,132,47461,6264852,LOT-2401-156,긴급
INV-00262,2025-02-04,부산물류센터,아트지,300,출고,0,243,526,56470,29703220,LOT-2502-865,
INV-00263,2024-08-19,인천물류센터,마닐라지,250,조정,0,0,228,53522,12203016,LOT-2408-342,긴급
INV-00264,2025-02-14,인천물류센터,스노우지,180,출고,0,61,586,85127,49884422,LOT-2502-471,긴급
INV-00265,2024-07-26,안산창고,이면지,70,조정,0,0,557,49586,27619402,LOT-2407-713,재검수
INV-00266,2024-04-19,대전창고,라이너지,80,출고,0,92,0,39171,0,LOT-2404-037,정상
INV-00267,2024-01-26,부산물류센터,백상지,250,입고,455,0,953,65425,62350025,LOT-2401-659,긴급
INV-00268,2025-05-26,부산물류센터,라이너지,70,출고,0,48,89,52132,4639748,LOT-2505-807,
INV-00269,2025-02-19,인천물류센터,백상지,300,조정,0,0,473,87295,41290535,LOT-2502-550,정상
INV-00270,2024-08-26,인천물류센터,아트지,100,조정,0,0,571,60881,34763051,LOT-2408-929,라벨확인
INV-00271,2024-02-16,안산창고,모조지,70,조정,0,0,508,89287,45357796,LOT-2402-315,
INV-00272,2025-04-12,부산물류센터,모조지,80,입고,304,0,512,68992,35323904,LOT-2504-819,라벨확인
INV-00273,2024-08-13,인천물류센터,백상지,200,조정,0,0,485,56346,27327810,LOT-2408-333,
INV-00274,2024-05-20,대전창고,백상지,70,입고,221,0,928,34143,31684704,LOT-2405-124,긴급
INV-00275,2024-05-24,광주창고,모조지,180,입고,274,0,940,45967,43208980,LOT-2405-948,라벨확인
INV-00276,2024-02-11,안산창고,스노우지,200,입고,500,0,761,61913,47115793,LOT-2402-083,
INV-00277,2024-01-08,안산창고,스노우지,150,조정,0,0,452,81920,37027840,LOT-2401-792,재검수
INV-00278,2024-05-09,안산창고,모조지,150,출고,0,230,405,45679,18499995,LOT-2405-961,정상
INV-00279,2024-02-08,부산물류센터,모조지,250,입고,371,0,1166,84164,98135224,LOT-2402-802,긴급
INV-00280,2024-12-22,광주창고,아트지,300,입고,110,0,564,64747,36517308,LOT-2412-098,라벨확인
INV-00281,2025-01-05,부산물류센터,이면지,120,조정,0,0,287,43638,12524106,LOT-2501-284,
INV-00282,2024-07-17,인천물류센터,모조지,250,입고,131,0,740,73918,54699320,LOT-2407-945,
INV-00283,2024-02-25,대전창고,크라프트지,120,출고,0,191,310,70423,21831130,LOT-2402-825,재검수
INV-00284,2024-02-14,인천물류센터,아트지,300,입고,452,0,732,31904,23353728,LOT-2402-497,라벨확인
INV-00285,2024-04-28,인천물류센터,백상지,250,조정,0,0,696,57463,39994248,LOT-2404-204,긴급
INV-00286,2024-08-23,인천물류센터,아이보리지,120,입고,427,0,890,57039,50764710,LOT-2408-891,정상
INV-00287,2025-01-19,안산창고,스노우지,250,출고,0,47,178,88359,15727902,LOT-2501-447,정상
INV-00288,2024-08-09,부산물류센터,라이너지,100,출고,0,89,407,59998,24419186,LOT-2408-738,정상
INV-00289,2025-01-02,대전창고,백상지,180,입고,404,0,438,67268,29463384,LOT-2501-062,긴급
INV-00290,2024-05-19,인천물류센터,라이너지,250,입고,439,0,1141,52516,59920756,LOT-2405-226,긴급
INV-00291,2024-06-09,부산물류센터,모조지,300,입고,260,0,595,86162,51266390,LOT-2406-535,재검수
INV-00292,2024-08-09,부산물류센터,라이너지,250,입고,423,0,808,58056,46909248,LOT-2408-754,정상
INV-00293,2024-09-10,대전창고,마닐라지,120,입고,343,0,1147,88867,101930449,LOT-2409-006,재검수
INV-00294,2024-02-15,인천물류센터,라이너지,300,출고,0,134,0,55842,0,LOT-2402-491,
INV-00295,2025-04-08,광주창고,백상지,80,입고,404,0,1075,77958,83804850,LOT-2504-417,정상
INV-00296,2024-05-15,대전창고,크라프트지,120,입고,58,0,368,61443,22611024,LOT-2405-686,긴급
INV-00297,2024-06-14,광주창고,복사용지,70,출고,0,90,535,87291,46700685,LOT-2406-721,재검수
INV-00298,2024-07-08,대전창고,라이너지,70,입고,247,0,939,88552,83150328,LOT-2407-708,긴급
INV-00299,2024-02-03,대전창고,마닐라지,150,조정,0,0,240,82066,19695840,LOT-2402-213,
INV-00300,2024-12-09,인천물류센터,이면지,180,입고,246,0,423,53959,22824657,LOT-2412-477,라벨확인
